order_id,date,customer_name,city,product,quantity,price
1000,2024-10-17,Usman,Lahore,Printer,1,5000.0
1001,2024-05-06,Hamza,Rawalpindi,Printer,2,120000.0
1002,2024-09-02,Bilal,Faisalabad,Printer,1,
1003,2024-08-29,Sara,Islamabad,Monitor,4,45000.0
1004,2024-06-16,Sara,Multan,Keyboard,1,2000.0
1005,2024-10-22,Usman,Faisalabad,Mouse,2,15000.0
1006,2024-09-05,Fatima,Faisalabad,Laptop,5,120000.0
1007,2024-05-15,Ahmed,Multan,Laptop,1,2000.0
1008,2025-01-03,Usman,Faisalabad,Mouse,2,45000.0
1009,2024-08-12,Hamza,Rawalpindi,Printer,3,120000.0
1010,2024-01-09,Fatima,Rawalpindi,Mouse,2,120000.0
1011,2024-04-04,Sara,Faisalabad,Headphones,4,45000.0
1012,2024-10-23,Ahmed,Faisalabad,Headphones,4,15000.0
1013,2024-10-29,Ayesha,Rawalpindi,Monitor,3,2000.0
1014,2024-11-03,Sara,Lahore,Keyboard,3,8000.0
1015,2024-11-07,Hina ,Faisalabad,Laptop,5,15000.0
1016,2024-01-27,Ahmed,Faisalabad,Keyboard,3,5000.0
1017,2024-09-21,Ali,Lahore,Printer,3,45000.0
1018,2024-12-26,Hina,Faisalabad,Monitor,1,45000.0
1019,2024-12-12,Hina ,Lahore,Printer,1,2000.0
1020,2024-01-24,Bilal,Karachi,Headphones,4,45000.0
1021,2024-09-18,Zain,Rawalpindi,Keyboard,1,8000.0
1022,2024-05-03,Hina,Multan,Headphones,1,120000.0
1023,2024-11-30,Hina,Islamabad,Mouse,3,120000.0
1024,2024-09-21,Fatima,Lahore,Printer,5,5000.0
1025,2024-09-18,Ayesha,Karachi,Headphones,1,2000.0
1026,2024-11-04,Usman,Multan,Monitor,2,5000.0
1027,2025-01-10,Ali,Faisalabad,Mouse,2,5000.0
1028,2024-11-29,Fatima,Multan,Monitor,5,5000.0
1029,2024-02-22,Usman,Lahore,Monitor,3,2000.0
1030,2025-01-17,Ayesha,Karachi,Printer,3,8000.0
1031,2024-11-25,Bilal,Lahore,Laptop,4,8000.0
1032,2024-01-10,Ali,Karachi,Mouse,2,45000.0
1033,2025-01-06,Ali,Karachi,Keyboard,3,8000.0
1034,2024-12-17,Zain,Rawalpindi,Printer,1,2000.0
1035,2024-12-14,Sara,Multan,Mouse,1,5000.0
1036,2024-06-28,Hamza,Karachi,Mouse,5,
1037,2024-12-03,Ayesha,Islamabad,Keyboard,1,45000.0
1038,2024-07-13,Usman,Lahore,Printer,3,8000.0
1039,2024-12-23,Zain,Faisalabad,Keyboard,1,5000.0
1040,2024-05-01,Sara,Lahore,Mouse,5,120000.0
1041,2025-02-02,Usman,Lahore,Keyboard,4,45000.0
1042,2024-09-11,Sara,Islamabad,Mouse,1,2000.0
1043,2024-07-30,Usman,Rawalpindi,Mouse,2,8000.0
1044,2024-06-28,Hamza,Karachi,Printer,5,5000.0
1045,2024-02-03,Hamza,Lahore,Printer,5,5000.0
1046,2024-09-04,Ali,Lahore,Printer,4,2000.0
1047,2024-10-03,Ayesha,Lahore,Laptop,1,45000.0
1048,2024-10-02,Usman,Rawalpindi,Mouse,2,15000.0
1049,2024-08-22,Zain,Multan,Keyboard,3,2000.0
1050,2024-07-18,Fatima,Islamabad,Laptop,1,2000.0
1051,2024-03-17,Bilal,Karachi,Printer,4,5000.0
1052,2024-09-23,Bilal,Faisalabad,Headphones,1,5000.0
1053,2024-03-11,Ahmed,Rawalpindi,Keyboard,5,120000.0
1054,2024-02-28,Hamza,Islamabad,Monitor,4,45000.0
1055,2024-01-01,Fatima,Islamabad,Mouse,5,8000.0
1056,2024-03-02,Hamza,Lahore,Laptop,5,5000.0
1057,2024-10-13,Fatima,Multan,Printer,1,15000.0
1058,2025-01-06,Ali,Karachi,Monitor,5,8000.0
1059,2024-09-27,Hamza,Islamabad,Monitor,5,120000.0
1060,2024-01-03,Ali,Multan,Mouse,2,15000.0
1061,2024-04-01,Fatima,Multan,Mouse,1,45000.0
1062,2024-10-11,Usman,Karachi,Headphones,2,8000.0
1063,2024-12-31,Fatima,Faisalabad,Monitor,5,5000.0
1064,2025-01-21,Ayesha,Lahore,Printer,2,2000.0
1065,2025-01-20,Usman,Faisalabad,Mouse,3,8000.0
1066,2024-04-15,Ahmed,Lahore,Mouse,2,8000.0
1067,2024-05-01,Ayesha,Islamabad,Keyboard,3,8000.0
1068,2024-07-06,Usman,Karachi,Headphones,1,15000.0
1069,2024-02-07,Hina,Islamabad,Laptop,4,120000.0
1070,2024-09-13,Hamza,Faisalabad,Headphones,1,120000.0
1071,2024-10-30,Hina,Islamabad,Keyboard,1,8000.0
1072,2024-10-30,Zain,Multan,Printer,4,120000.0
1073,2025-01-31,Zain,Lahore,Monitor,2,2000.0
1074,2024-01-22,Fatima,Karachi,Mouse,5,15000.0
1075,2025-01-19,Hina,Islamabad,Mouse,3,
1076,2024-02-18,Ali,Islamabad,Monitor,5,
1077,2024-12-09,Sara,Lahore,Monitor,5,120000.0
1078,2024-08-18,Hamza,Faisalabad,Monitor,5,2000.0
1079,2024-12-25,Hamza,Islamabad,Mouse,4,2000.0
1080,2024-04-30,Hina,Rawalpindi,Printer,2,15000.0
1081,2024-11-12,Sara,Rawalpindi,Laptop,1,45000.0
1082,2024-01-28,Fatima,Lahore,Headphones,3,8000.0
1083,2024-04-14,Hina,Lahore,Monitor,1,15000.0
1084,2024-02-26,Hina,Multan,Printer,4,8000.0
1085,2024-12-23,Usman,Lahore,Printer,1,45000.0
1086,2024-05-08,Hamza,Faisalabad,Monitor,2,120000.0
1087,2024-02-21,Zain,Multan,Printer,2,5000.0
1088,2025-01-26,Sara,Lahore,Printer,5,8000.0
1089,2024-11-19,Ayesha,Karachi,Headphones,2,8000.0
1090,2024-05-29,Ali,Faisalabad,Mouse,2,120000.0
1091,2024-09-05,Ali,Faisalabad,Laptop,4,8000.0
1092,2024-12-13,Usman,Islamabad,Headphones,1,120000.0
1093,2024-02-02,Bilal,Multan,Mouse,4,45000.0
1094,2024-01-04,Fatima,Rawalpindi,Keyboard,2,2000.0
1095,2025-01-04,Ali,Faisalabad,Monitor,3,8000.0
1096,2024-05-05,Sara,Faisalabad,Printer,3,15000.0
1097,2024-11-10,Fatima,Rawalpindi,Mouse,1,2000.0
1098,2024-07-11,Hina,Islamabad,Headphones,3,2000.0
1099,2024-11-01,Zain,Faisalabad,Headphones,4,120000.0
1100,2024-11-01,Zain,Faisalabad,Laptop,4,5000.0
1101,2024-01-01,Bilal,Lahore,Printer,4,8000.0
1102,2024-06-12,Ayesha,Lahore,Printer,5,15000.0
1103,2024-03-21,Hina,Islamabad,Printer,4,15000.0
1104,2024-09-18,Bilal ,Islamabad,Mouse,2,120000.0
1105,2024-12-09,Usman,Faisalabad,Mouse,3,120000.0
1106,2024-06-13,Ahmed,Faisalabad,Mouse,1,15000.0
1107,2024-09-21,Usman,Karachi,Laptop,2,120000.0
1108,2024-09-27,Hamza,Lahore,Keyboard,2,15000.0
1109,2024-04-02,Ayesha,Faisalabad,Monitor,2,15000.0
1110,2024-03-15,Usman,Faisalabad,Laptop,2,15000.0
1111,2024-07-17,Fatima,Multan,Headphones,2,45000.0
